,at_least_4_accuracy,at_least_6_or_at_most_2_accuracy,global_step,loss,total_accuracy
0,0.5528854131698608,0.47086820006370544,1,0.6941379308700562,0.5119574069976807
1,0.6016838550567627,0.4628261923789978,51,0.6930512189865112,0.5323914885520935
2,0.5933464169502258,0.4903988242149353,101,0.6926337480545044,0.5419737696647644
3,0.6266961097717285,0.47012966871261597,151,0.6922197341918945,0.5485667586326599
4,0.6557953357696533,0.42901691794395447,201,0.6915782690048218,0.5426290035247803
5,0.6835867166519165,0.42187756299972534,251,0.6906829476356506,0.5529893636703491
6,0.7125225067138672,0.4405875504016876,301,0.689922034740448,0.5768222808837891
7,0.6675658226013184,0.40932217240333557,351,0.6887056231498718,0.5386977791786194
8,0.6504005193710327,0.4150664806365967,401,0.6869955658912659,0.5329647660255432
9,0.6098577976226807,0.46389299631118774,451,0.6834307312965393,0.5370188355445862
10,0.5628576278686523,0.4815361797809601,501,0.6786866188049316,0.5222768187522888
11,0.5644106864929199,0.48974233865737915,551,0.6743472218513489,0.5271498560905457
12,0.5493705868721008,0.4881010949611664,601,0.6685705184936523,0.5187960863113403
13,0.5529671311378479,0.47973084449768066,651,0.664400041103363,0.5164209604263306
14,0.5788785219192505,0.49409157037734985,701,0.6562889218330383,0.5365684032440186
15,0.6642144918441772,0.4968816637992859,751,0.6502092480659485,0.5807125568389893
16,0.7554356455802917,0.4978663921356201,801,0.6449902057647705,0.6269041895866394
17,0.6847310662269592,0.4969637393951416,851,0.6367754340171814,0.5910319685935974
18,0.7151381373405457,0.49679961800575256,901,0.6311520338058472,0.6061834692955017
19,0.7506948113441467,0.497374027967453,951,0.6232293248176575,0.6242833733558655
20,0.8443681597709656,0.49794846773147583,1001,0.6174153685569763,0.6714987754821777
21,0.8294915556907654,0.49762022495269775,1051,0.6110470294952393,0.6638820767402649
22,0.8178845643997192,0.4977022707462311,1101,0.6053356528282166,0.658108115196228
23,0.8341507315635681,0.4977843463420868,1151,0.600382387638092,0.6662980914115906
24,0.8653751611709595,0.4977022707462311,1201,0.5970026254653931,0.6819000840187073
25,0.8473924994468689,0.4977843463420868,1251,0.5919545888900757,0.6729320287704468
26,0.8644760251045227,0.4977843463420868,1301,0.5877987742424011,0.6814906001091003
27,0.8408533334732056,0.4978663921356201,1351,0.5841205716133118,0.6696969866752625
28,0.8375020623207092,0.496143102645874,1401,0.5818945169448853,0.6671580672264099
29,0.8540133833885193,0.4965534210205078,1451,0.5774532556533813,0.6756347417831421
30,0.8572829961776733,0.49811258912086487,1501,0.5747861862182617,0.6780507564544678
31,0.8629230260848999,0.4963892996311188,1551,0.5723510384559631,0.6800163984298706
32,0.8438777327537537,0.4963892996311188,1601,0.5733461976051331,0.6704750061035156
33,0.8613699674606323,0.4966354966163635,1651,0.567878007888794,0.6793611645698547
34,0.8657838702201843,0.49983587861061096,1701,0.5651689767837524,0.6831695437431335
35,0.8657838702201843,0.5022976994514465,1751,0.5626689195632935,0.6843980550765991
36,0.8577734231948853,0.4960610568523407,1801,0.562947690486908,0.6772727370262146
37,0.8692169189453125,0.497374027967453,1851,0.5592173933982849,0.6836609244346619
38,0.8637403845787048,0.5030362606048584,1901,0.558566153049469,0.6837428212165833
39,0.8439594507217407,0.49803051352500916,1951,0.5680404901504517,0.671334981918335
40,0.8666830062866211,0.5029541850090027,2001,0.5546149015426636,0.6851760745048523
41,0.8738760948181152,0.5032824277877808,2051,0.5523027777671814,0.6889435052871704
42,0.8728134632110596,0.5072214007377625,2101,0.5508996248245239,0.6903767585754395
43,0.8756743669509888,0.5101755857467651,2151,0.5494924783706665,0.6932842135429382
44,0.8696256279945374,0.5154275298118591,2201,0.5540370941162109,0.6928746700286865
45,0.8800065517425537,0.5196947455406189,2251,0.5465383529663086,0.7002047300338745
46,0.8824587464332581,0.5187920331954956,2301,0.5430163741111755,0.7009828090667725
47,0.883030891418457,0.5193665027618408,2351,0.5414384603500366,0.7015560865402222
48,0.88294917345047,0.5158378481864929,2401,0.5395023822784424,0.6997542977333069
49,0.8813961148262024,0.5232234001159668,2451,0.5377671122550964,0.7026617527008057
50,0.8802517652511597,0.5264237523078918,2501,0.5357540249824524,0.7036855220794678
51,0.8796795606613159,0.5281470417976379,2551,0.5344331860542297,0.7042587995529175
52,0.8859735131263733,0.525274932384491,2601,0.532509446144104,0.7059786915779114
53,0.8845022320747375,0.5269982218742371,2651,0.5323739051818848,0.7061015367507935
54,0.8822952508926392,0.5146889686584473,2701,0.5338172912597656,0.6988533735275269
55,0.8737943172454834,0.5336451530456543,2751,0.5318596959114075,0.704054057598114
56,0.8868726491928101,0.5218283534049988,2801,0.5261522531509399,0.7047092318534851
57,0.887117862701416,0.5233054161071777,2851,0.5261487364768982,0.7055692076683044
58,0.8631682395935059,0.5302806496620178,2901,0.5333444476127625,0.6970515847206116
