,global_step,loss,not_all_accuracy,not_only_accuracy,total_accuracy
0,1,0.6972004771232605,0.49767059087753296,0.5132201313972473,0.5053852796554565
1,51,0.6955661177635193,0.49767059087753296,0.5132201313972473,0.5053852796554565
2,101,0.6935203671455383,0.49767059087753296,0.5132201313972473,0.5053852796554565
3,151,0.6905831098556519,0.49767059087753296,0.5789034366607666,0.5379729270935059
4,201,0.6878361105918884,0.5020553469657898,0.8427497744560242,0.6710853576660156
5,251,0.6850590109825134,0.5722115635871887,0.7141664624214172,0.6426401734352112
6,301,0.6823114156723022,0.6774458885192871,0.6504313945770264,0.6640430688858032
7,351,0.678371250629425,0.7426692247390747,0.5457834601402283,0.6449875831604004
8,401,0.6733040809631348,0.70101398229599,0.5101586580276489,0.6063241958618164
9,451,0.6677596569061279,0.6442860960960388,0.4931811988353729,0.5693178772926331
10,501,0.6622971892356873,0.6212661266326904,0.49262455105781555,0.5574427247047424
11,551,0.6561380624771118,0.5864620208740234,0.4892847239971161,0.5382490754127502
12,601,0.6489499807357788,0.6281172633171082,0.5040356516838074,0.5665562152862549
13,651,0.6410769820213318,0.6925184726715088,0.5694406032562256,0.6314554214477539
14,701,0.6315178871154785,0.6993696689605713,0.5750069618225098,0.6376691460609436
15,751,0.619875431060791,0.6993696689605713,0.6095185279846191,0.6547914743423462
16,801,0.6053759455680847,0.7275965809822083,0.6799331903457642,0.7039492130279541
17,851,0.5907542705535889,0.7544533014297485,0.7194544672966003,0.737089216709137
18,901,0.5719721913337708,0.7678816318511963,0.8118563890457153,0.7896989583969116
19,951,0.5555301308631897,0.7697999477386475,0.827720582485199,0.7985363006591797
20,1001,0.5384292602539062,0.7695258855819702,0.8499860763549805,0.8094449043273926
21,1051,0.5248650908470154,0.7654151916503906,0.8527692556381226,0.8087545037269592
22,1101,0.5094397068023682,0.767607569694519,0.8583356738090515,0.8126208186149597
23,1151,0.4989910125732422,0.7654151916503906,0.8580573201179504,0.8113780617713928
24,1201,0.48747411370277405,0.7613044381141663,0.8644586801528931,0.8124827146530151
25,1251,0.477673202753067,0.7662373185157776,0.8658502697944641,0.8156586289405823
26,1301,0.4695459306240082,0.7624006867408752,0.8691900968551636,0.8153824806213379
27,1351,0.46362680196762085,0.7607563734054565,0.8736432194709778,0.8167633414268494
28,1401,0.45505601167678833,0.7640449404716492,0.8778179883956909,0.8204915523529053
29,1451,0.44661644101142883,0.7689778208732605,0.8783746361732483,0.8232532739639282
30,1501,0.4386287331581116,0.7697999477386475,0.8694683909416199,0.8192488551139832
31,1551,0.4296887516975403,0.781309962272644,0.8811578154563904,0.8308478593826294
32,1601,0.42250141501426697,0.7865168452262878,0.8870025277137756,0.8363711833953857
33,1651,0.4181821942329407,0.7930939793586731,0.8922905921936035,0.842308759689331
34,1701,0.4067060351371765,0.7983009219169617,0.8914555907249451,0.8445180654525757
35,1751,0.4001956880092621,0.8035078048706055,0.8942387700080872,0.8485224843025208
36,1801,0.39299827814102173,0.8117292523384094,0.8931255340576172,0.8521126508712769
37,1851,0.3824748694896698,0.8155658841133118,0.8978569507598877,0.8563932776451111
38,1901,0.37561213970184326,0.8254316449165344,0.9000834822654724,0.862468957901001
39,1951,0.366580992937088,0.8265278339385986,0.9023100733757019,0.8641259074211121
40,2001,0.35966700315475464,0.835845410823822,0.9006401300430298,0.8679922819137573
41,2051,0.3494528532028198,0.8454371094703674,0.9073197841644287,0.8761391639709473
42,2101,0.3409740626811981,0.8468073606491089,0.9078764319419861,0.8771057724952698
43,2151,0.334410160779953,0.8522883057594299,0.9109379053115845,0.8813863396644592
44,2201,0.3270362317562103,0.8646204471588135,0.9137211441993713,0.8889809250831604
45,2251,0.3154994249343872,0.8648945093154907,0.9209574460983276,0.8927091956138611
46,2301,0.3103439211845398,0.8687311410903931,0.9181742072105408,0.8932615518569946
47,2351,0.2988954484462738,0.8818854689598083,0.9256888628005981,0.903617799282074
48,2401,0.29371121525764465,0.8818854689598083,0.9254105091094971,0.9034796953201294
49,2451,0.28782734274864197,0.8928473591804504,0.9287503361701965,0.9106600284576416
50,2501,0.27614933252334595,0.8980542421340942,0.9337601065635681,0.915769100189209
51,2551,0.26962509751319885,0.8991504311561584,0.9359866380691528,0.9174261093139648
52,2601,0.26553818583488464,0.9109345078468323,0.9373782277107239,0.9240541458129883
53,2651,0.255588561296463,0.9079200029373169,0.940161406993866,0.9239160418510437
54,2701,0.2502709925174713,0.9084680676460266,0.940439760684967,0.9243302941322327
55,2751,0.24352140724658966,0.911482572555542,0.9418313503265381,0.9265396595001221
56,2801,0.23783156275749207,0.9153192639350891,0.9460061192512512,0.9305440783500671
57,2851,0.2315656542778015,0.9186078310012817,0.9473977088928223,0.9328914880752563
58,2901,0.22693003714084625,0.9191559553146362,0.9465627670288086,0.9327533841133118
59,2951,0.22264015674591064,0.9257330894470215,0.9487892985343933,0.9371720552444458
60,3001,0.22053110599517822,0.9292957186698914,0.9507375359535217,0.939933717250824
61,3051,0.2111702710390091,0.9312140345573425,0.9546340107917786,0.9428334832191467
62,3101,0.20580138266086578,0.9298437833786011,0.9557473063468933,0.9426953792572021
63,3151,0.20447194576263428,0.9218963980674744,0.9560256004333496,0.9388290643692017
64,3201,0.19790610671043396,0.938065230846405,0.9585304856300354,0.9482187032699585
65,3251,0.19557233154773712,0.9402576088905334,0.9604787230491638,0.9502899646759033
66,3301,0.18951497972011566,0.9405316710472107,0.9624269604682922,0.9513946175575256
67,3351,0.1877823770046234,0.9303919076919556,0.9582521319389343,0.9442142844200134
68,3401,0.1840045303106308,0.9473828673362732,0.9638185501098633,0.9555371403694153
69,3451,0.17822137475013733,0.944368302822113,0.9643751978874207,0.9542943835258484
70,3501,0.1775924116373062,0.9487530589103699,0.9649317860603333,0.9567798972129822
71,3551,0.17304761707782745,0.9366949796676636,0.9610353708267212,0.948771059513092
72,3601,0.16938811540603638,0.9432721138000488,0.9635401964187622,0.9533278346061707
73,3651,0.16593270003795624,0.9484790563583374,0.9668800234794617,0.9576084017753601
74,3701,0.168392151594162,0.9375171065330505,0.9588087797164917,0.9480806589126587
75,3751,0.1612882912158966,0.9440943002700806,0.9691066145896912,0.9565037488937378
76,3801,0.15774591267108917,0.95176762342453,0.9677150249481201,0.9596796631813049
77,3851,0.16235405206680298,0.9503973722457886,0.9696632623672485,0.9599558115005493
78,3901,0.15307484567165375,0.9506714344024658,0.9696632623672485,0.9600939154624939
79,3951,0.14993995428085327,0.9523156881332397,0.9718897938728333,0.9620270729064941
80,4001,0.1477617621421814,0.9528638124465942,0.9718897938728333,0.9623032212257385
81,4051,0.1458241045475006,0.9539600014686584,0.9727247357368469,0.963269829750061
82,4101,0.14288605749607086,0.9542340636253357,0.9699415564537048,0.9620270729064941
83,4151,0.1443227231502533,0.9558783173561096,0.9652101397514343,0.9605081677436829
84,4201,0.14161299169063568,0.9520416259765625,0.966045081615448,0.9589892029762268
85,4251,0.13791121542453766,0.9569745063781738,0.9746729731559753,0.9657553434371948
86,4301,0.13511881232261658,0.9545080661773682,0.9702198505401611,0.9623032212257385
87,4351,0.13441523909568787,0.9575226306915283,0.9702198505401611,0.9638221263885498
88,4401,0.132322758436203,0.9539600014686584,0.9702198505401611,0.9620270729064941
89,4451,0.1298334002494812,0.9586188197135925,0.9696632623672485,0.964098334312439
90,4501,0.13054119050502777,0.9599890112876892,0.9732813835144043,0.966583788394928
91,4551,0.1268727332353592,0.9597150087356567,0.9696632623672485,0.9646506309509277
92,4601,0.1277921050786972,0.9583447575569153,0.9666017293930054,0.9624413251876831
93,4651,0.12335730344057083,0.9583447575569153,0.9724464416503906,0.9653410911560059
94,4701,0.1216619461774826,0.9602630734443665,0.9724464416503906,0.9663076400756836
95,4751,0.12129264324903488,0.9591668844223022,0.9716114401817322,0.9653410911560059
