,global_step,loss,not_all_accuracy,not_only_accuracy,total_accuracy
0,1,0.6928640604019165,0.4938105344772339,0.519131600856781,0.5064180493354797
1,51,0.6890658736228943,0.5110333561897278,0.5096336603164673,0.5103364586830139
2,101,0.6856268644332886,0.5067276358604431,0.5042062401771545,0.5054722428321838
3,151,0.6831457614898682,0.5088804960250854,0.5063772201538086,0.5076341032981873
4,201,0.6799004077911377,0.5115715861320496,0.5047490000724792,0.5081745982170105
5,251,0.677341878414154,0.5293326377868652,0.5109905004501343,0.5201999545097351
6,301,0.6735837459564209,0.5279870629310608,0.5093622803688049,0.5187137126922607
7,351,0.6694944500923157,0.533369243144989,0.5185889005661011,0.5260099768638611
8,401,0.6646612882614136,0.5519375801086426,0.5652645826339722,0.5585731863975525
9,451,0.6584339737892151,0.5702368021011353,0.6398914456367493,0.6049182415008545
10,501,0.6505276560783386,0.594187319278717,0.6727272868156433,0.6332927942276001
11,551,0.6381047368049622,0.5885360836982727,0.678697407245636,0.6334279179573059
12,601,0.6220008730888367,0.5955328345298767,0.6941655278205872,0.6446425914764404
13,651,0.6035045385360718,0.6057589054107666,0.798643171787262,0.7017970681190491
14,701,0.5802508592605591,0.6071044206619263,0.8271370530128479,0.7166599035263062
15,751,0.5532899498939514,0.6533907651901245,0.9036635160446167,0.7780029773712158
16,801,0.5252318382263184,0.6829924583435059,0.9120759963989258,0.7970544695854187
17,851,0.4995609223842621,0.699138879776001,0.9107191562652588,0.8044858574867249
18,901,0.47342053055763245,0.7586113810539246,0.8892808556556702,0.8236724734306335
19,951,0.4471704959869385,0.7796016931533813,0.9112618565559387,0.8451560735702515
20,1001,0.4263070225715637,0.8124327063560486,0.9090909361839294,0.8605594038963318
21,1051,0.4090116620063782,0.8118945360183716,0.9134328365325928,0.8624510169029236
22,1101,0.39014139771461487,0.8474165797233582,0.9145182967185974,0.8808268904685974
23,1151,0.3727615177631378,0.8501076698303223,0.9150610566139221,0.8824483156204224
24,1201,0.35911524295806885,0.8702906370162964,0.9229307770729065,0.8965004682540894
25,1251,0.34234383702278137,0.8840150833129883,0.9172320365905762,0.9005540013313293
26,1301,0.32983866333961487,0.8926264643669128,0.9215739369392395,0.9070395827293396
27,1351,0.3242826759815216,0.8972012996673584,0.9248303771018982,0.9109579920768738
28,1401,0.3104853928089142,0.9090420007705688,0.9280868172645569,0.9185245037078857
29,1451,0.2972505986690521,0.9071582555770874,0.9202170968055725,0.9136602878570557
30,1501,0.2870286703109741,0.9168460965156555,0.9272727370262146,0.9220375418663025
31,1551,0.2776552140712738,0.9176533818244934,0.9308005571365356,0.9241994619369507
32,1601,0.2681829333305359,0.9214208722114563,0.933785617351532,0.9275773763656616
33,1651,0.27550819516181946,0.9241119623184204,0.9348710775375366,0.9294689893722534
