Actual success rate,generation,p(success by chance only),z-score,p(true)
0.635,0,0.5002,8.52550125385408,0.51
0.673,1,0.500032,10.93945686888409,0.504
0.646,2,0.500072,9.229297183550383,0.506
0.667,3,0.501152,10.489176348164829,0.476
0.627,4,0.5069619999999999,7.5926057698640745,0.441
0.667,5,0.501458,10.469839881303914,0.527
0.646,6,0.500018,9.232712353716806,0.497
0.681,7,0.5002,11.434796933952653,0.51
0.652,8,0.500392,9.588534776881826,0.514
0.652,9,0.500002,9.613197595882376,0.499
0.622,10,0.5018,7.6021647572320195,0.53
0.672,11,0.500882,10.822469411184338,0.521
0.661,12,0.50005,10.179371838978872,0.505
0.644,13,0.500072,9.102806075832188,0.506
0.656,14,0.5008,9.815722421295389,0.52
0.643,15,0.500002,9.043987617047513,0.501
0.647,16,0.500722,9.251442676745322,0.519
0.622,17,0.5032,7.513725603236199,0.54
0.656,18,0.500882,9.810538985519303,0.479
0.678,19,0.501568,11.158594312487017,0.528
0.67,20,0.504802,10.448520778346204,0.549
0.632,21,0.5002,8.335764579065042,0.51
0.662,22,0.50245,10.090949156169085,0.535
0.65,23,0.503528,9.263933284027267,0.542
0.666,24,0.500072,10.494208260732332,0.506
0.64,25,0.505,8.538576621959477,0.55
0.631,26,0.501568,8.186038695099638,0.528
0.636,27,0.502592,8.437576137619633,0.536
0.651,28,0.509248,8.966717554958546,0.568
0.637,29,0.50405,8.408772152682964,0.545
0.645,30,0.50005,9.167442982665346,0.505
0.628,31,0.500018,8.094292395318494,0.497
0.619,32,0.5018,7.4124268681164125,0.53
0.649,33,0.50045,9.395130733388976,0.515
0.658,34,0.500242,9.977493150900752,0.511
0.626,35,0.501058,7.902043598881217,0.523
0.619,36,0.501352,7.440740045236494,0.526
0.62,37,0.503872,7.344799837821717,0.544
0.626,38,0.500578,7.932389074043085,0.517
0.615,39,0.504418,6.9940928011982635,0.547
