,NN-based_accuracy,global_step,loss,total_accuracy
0,0.49942246079444885,1,0.7003357410430908,0.49942246079444885
1,0.49942246079444885,51,0.6985321044921875,0.49942246079444885
2,0.49942246079444885,101,0.696430504322052,0.49942246079444885
3,0.49942246079444885,151,0.695087194442749,0.49942246079444885
4,0.4994363784790039,201,0.6937487721443176,0.4994363784790039
5,0.5009672045707703,251,0.6922178268432617,0.5009672045707703
6,0.5156213045120239,301,0.6911782026290894,0.5156213045120239
7,0.5180566906929016,351,0.6898849010467529,0.5180566906929016
8,0.550510048866272,401,0.6887272596359253,0.550510048866272
9,0.5806532502174377,451,0.6875905394554138,0.5806532502174377
10,0.5519852042198181,501,0.6853427886962891,0.5519852042198181
11,0.5640647411346436,551,0.6821621656417847,0.5640647411346436
12,0.600706934928894,601,0.6786090135574341,0.600706934928894
13,0.6656414866447449,651,0.6734669208526611,0.6656414866447449
14,0.6292775869369507,701,0.6641411185264587,0.6292775869369507
15,0.661981463432312,751,0.652927815914154,0.661981463432312
16,0.7134447693824768,801,0.635276198387146,0.7134447693824768
17,0.7709200382232666,851,0.609782874584198,0.7709200382232666
18,0.7841824889183044,901,0.5767086744308472,0.7841824889183044
19,0.8174012303352356,951,0.5307207703590393,0.8174012303352356
20,0.8458327054977417,1001,0.48884567618370056,0.8458327054977417
21,0.8643695116043091,1051,0.44339632987976074,0.8643695116043091
22,0.8761011362075806,1101,0.4045598804950714,0.8761011362075806
23,0.9041011929512024,1151,0.3569427728652954,0.9041011929512024
24,0.9139262437820435,1201,0.3324028253555298,0.9139262437820435
25,0.9350654482841492,1251,0.29226386547088623,0.9350654482841492
26,0.9433736205101013,1301,0.26918885111808777,0.9433736205101013
27,0.9504014849662781,1351,0.2465357482433319,0.9504014849662781
28,0.956232488155365,1401,0.22835257649421692,0.956232488155365
29,0.9577354788780212,1451,0.2130279690027237,0.9577354788780212
30,0.9633299708366394,1501,0.20077675580978394,0.9633299708366394
31,0.964665949344635,1551,0.19541700184345245,0.964665949344635
32,0.9665864109992981,1601,0.17664818465709686,0.9665864109992981
33,0.9579164385795593,1651,0.17925427854061127,0.9579164385795593
34,0.9729045033454895,1701,0.1593186855316162,0.9729045033454895
35,0.9728349447250366,1751,0.1594901829957962,0.9728349447250366
36,0.972320020198822,1801,0.14904429018497467,0.972320020198822
37,0.9753538370132446,1851,0.1485689878463745,0.9753538370132446
38,0.9772742986679077,1901,0.14085274934768677,0.9772742986679077
39,0.9792922139167786,1951,0.1369302123785019,0.9792922139167786
40,0.975437343120575,2001,0.13259544968605042,0.975437343120575
41,0.9770098924636841,2051,0.13556644320487976,0.9770098924636841
42,0.9799323678016663,2101,0.1260540634393692,0.9799323678016663
43,0.9781649708747864,2151,0.12715701758861542,0.9781649708747864
44,0.9720556139945984,2201,0.12311107665300369,0.9720556139945984
45,0.9788886308670044,2251,0.11535052210092545,0.9788886308670044
46,0.9808925986289978,2301,0.11373240500688553,0.9808925986289978
47,0.9728209972381592,2351,0.11694726347923279,0.9728209972381592
48,0.9830357432365417,2401,0.10864704102277756,0.9830357432365417
49,0.9824095368385315,2451,0.10510891675949097,0.9824095368385315
50,0.9804890155792236,2501,0.10977230966091156,0.9804890155792236
51,0.9817554354667664,2551,0.1036376878619194,0.9817554354667664
52,0.9618408679962158,2601,0.12588301301002502,0.9618408679962158
53,0.9646241664886475,2651,0.12145618349313736,0.9646241664886475
54,0.978874683380127,2701,0.10124175995588303,0.978874683380127
55,0.9864591956138611,2751,0.09456218779087067,0.9864591956138611
56,0.9783041477203369,2801,0.10004212707281113,0.9783041477203369
57,0.9818249940872192,2851,0.09748010337352753,0.9818249940872192
58,0.9662663340568542,2901,0.11505947262048721,0.9662663340568542
59,0.9861530661582947,2951,0.08810163289308548,0.9861530661582947
60,0.9870715737342834,3001,0.08538153767585754,0.9870715737342834
61,0.9846082925796509,3051,0.08617058396339417,0.9846082925796509
62,0.9851788878440857,3101,0.08405020087957382,0.9851788878440857
63,0.9881709218025208,3151,0.08004537969827652,0.9881709218025208
64,0.9864591956138611,3201,0.07959423214197159,0.9864591956138611
65,0.9818249940872192,3251,0.08510862290859222,0.9818249940872192
66,0.986431360244751,3301,0.0773850753903389,0.986431360244751
67,0.984636127948761,3351,0.08054377883672714,0.984636127948761
68,0.9813240170478821,3401,0.08470099419355392,0.9813240170478821
69,0.9867514371871948,3451,0.07501220703125,0.9867514371871948
