z-score,p(true),Actual success rate,p(success by chance only),generation
31.17791825998546,0.545,0.997,0.50405,0
30.6629772764331,0.551,0.99,0.505202,1
30.979222158594673,0.551,0.995,0.505202,2
30.97091955925862,0.534,0.992,0.502312,3
31.17797844867458,0.539,0.996,0.503042,4
31.4917321419527,0.506,0.998,0.500072,5
30.523583477510318,0.552,0.988,0.505408,6
31.351584870399897,0.512,0.996,0.500288,7
30.144087959836877,0.552,0.982,0.505408,8
30.365375756840326,0.521,0.981,0.500882,9
29.33640122728981,0.524,0.965,0.501152,10
29.387811957346337,0.513,0.965,0.500338,11
29.250324745517354,0.516,0.963,0.500512,12
27.50726224882956,0.506,0.935,0.500072,13
27.246186499705765,0.49,0.931,0.5002,14
25.66770685574572,0.44,0.913,0.5072000000000001,15
24.260802887171806,0.453,0.888,0.5044179999999999,16
24.814923030843158,0.438,0.9,0.507688,17
24.147646761915652,0.46,0.885,0.5032000000000001,18
24.147646761915652,0.46,0.885,0.5032000000000001,19
25.337144735973265,0.448,0.906,0.5054080000000001,20
23.662549836440505,0.426,0.885,0.5109520000000001,21
24.97965070855312,0.455,0.899,0.5040499999999999,22
24.63760102654758,0.465,0.892,0.50245,23
25.096349489596992,0.46,0.9,0.5032000000000001,24
24.105374952080968,0.426,0.892,0.5109520000000001,25
23.616241941300288,0.447,0.879,0.5056179999999999,26
24.48080567784077,0.441,0.894,0.5069619999999999,27
26.19647789056159,0.47,0.916,0.5018,28
24.711050159775038,0.428,0.901,0.510368,29
25.30334138052458,0.469,0.902,0.501922,30
24.286043990303156,0.429,0.894,0.5100819999999999,31
22.959933291742875,0.413,0.878,0.5151379999999999,32
22.3535709302414,0.375,0.884,0.53125,33
21.696106923018384,0.392,0.866,0.523328,34
21.856964491260037,0.384,0.872,0.526912,35
22.112735770033705,0.391,0.873,0.523762,36
22.110313949847527,0.384,0.876,0.526912,37
21.37847030278279,0.385,0.864,0.52645,38
22.859350909440423,0.403,0.88,0.518818,39
