,at_least_3_accuracy,global_step,loss,total_accuracy
0,0.49944478273391724,1,0.6995466351509094,0.49944478273391724
1,0.4997827410697937,51,0.6955453157424927,0.4997827410697937
2,0.4997022747993469,101,0.6916313767433167,0.4997022747993469
3,0.4999597668647766,151,0.6873008012771606,0.4999597668647766
4,0.4998471140861511,201,0.6825121641159058,0.4998471140861511
5,0.5036128759384155,251,0.6763620972633362,0.5036128759384155
6,0.5135100483894348,301,0.6689646244049072,0.5135100483894348
7,0.5129950642585754,351,0.6594067811965942,0.5129950642585754
8,0.5619015693664551,401,0.646996021270752,0.5619015693664551
9,0.6633354425430298,451,0.6306475400924683,0.6633354425430298
10,0.6533738970756531,501,0.6061217784881592,0.6533738970756531
11,0.7975828647613525,551,0.572079598903656,0.7975828647613525
12,0.8391991853713989,601,0.5286909341812134,0.8391991853713989
13,0.8873332142829895,651,0.48347973823547363,0.8873332142829895
14,0.874265730381012,701,0.43762195110321045,0.874265730381012
15,0.8726403713226318,751,0.40803641080856323,0.8726403713226318
16,0.8688263297080994,801,0.38524574041366577,0.8688263297080994
17,0.8701781630516052,851,0.36965876817703247,0.8701781630516052
18,0.8683918118476868,901,0.36040428280830383,0.8683918118476868
19,0.8708701729774475,951,0.34721702337265015,0.8708701729774475
20,0.8725438117980957,1001,0.3391534686088562,0.8725438117980957
21,0.8706448674201965,1051,0.33950304985046387,0.8706448674201965
22,0.8764544129371643,1101,0.3243909776210785,0.8764544129371643
23,0.8780636787414551,1151,0.3184219002723694,0.8780636787414551
24,0.8818133473396301,1201,0.3075922131538391,0.8818133473396301
25,0.8870596289634705,1251,0.29785072803497314,0.8870596289634705
26,0.889843761920929,1301,0.2906380891799927,0.889843761920929
27,0.8925795555114746,1351,0.2825266122817993,0.8925795555114746
28,0.8941888213157654,1401,0.2761808931827545,0.8941888213157654
29,0.8931910991668701,1451,0.27457788586616516,0.8931910991668701
30,0.8976327180862427,1501,0.2645299434661865,0.8976327180862427
31,0.9013341069221497,1551,0.25831282138824463,0.9013341069221497
32,0.9040699005126953,1601,0.2533130645751953,0.9040699005126953
33,0.9095093011856079,1651,0.24834521114826202,0.9095093011856079
34,0.9047940969467163,1701,0.24505437910556793,0.9047940969467163
35,0.9167994260787964,1751,0.237656831741333,0.9167994260787964
36,0.9104588031768799,1801,0.23280997574329376,0.9104588031768799
37,0.9192777276039124,1851,0.22722633183002472,0.9192777276039124
38,0.9256022572517395,1901,0.22358354926109314,0.9256022572517395
39,0.9112151861190796,1951,0.22211018204689026,0.9112151861190796
40,0.9268575310707092,2001,0.21619097888469696,0.9268575310707092
41,0.9320555329322815,2051,0.21094049513339996,0.9320555329322815
42,0.9199536442756653,2101,0.20976059138774872,0.9199536442756653
43,0.9258758425712585,2151,0.20502008497714996,0.9258758425712585
44,0.933664858341217,2201,0.2008667141199112,0.933664858341217
45,0.9349522590637207,2251,0.19720923900604248,0.9349522590637207
46,0.9150292277336121,2301,0.20428277552127838,0.9150292277336121
47,0.9343568682670593,2351,0.1968756467103958,0.9343568682670593
48,0.9395065903663635,2401,0.1890057623386383,0.9395065903663635
49,0.9366581439971924,2451,0.19027696549892426,0.9366581439971924
50,0.941067636013031,2501,0.18537460267543793,0.941067636013031
51,0.9430148601531982,2551,0.18057690560817719,0.9430148601531982
52,0.9422101974487305,2601,0.17877957224845886,0.9422101974487305
53,0.9399411082267761,2651,0.1769697517156601,0.9399411082267761
54,0.9449942708015442,2701,0.1729707568883896,0.9449942708015442
55,0.9449459910392761,2751,0.17174753546714783,0.9449459910392761
56,0.9467001557350159,2801,0.16829077899456024,0.9467001557350159
57,0.9455414414405823,2851,0.16753658652305603,0.9455414414405823
58,0.9474725723266602,2901,0.1648346483707428,0.9474725723266602
59,0.9485025405883789,2951,0.16263870894908905,0.9485025405883789
60,0.9463943839073181,3001,0.1615849733352661,0.9463943839073181
61,0.9486312866210938,3051,0.1582728773355484,0.9486312866210938
62,0.9505946636199951,3101,0.15609270334243774,0.9505946636199951
63,0.9500796794891357,3151,0.1547282487154007,0.9500796794891357
64,0.9428861141204834,3201,0.15968279540538788,0.9428861141204834
65,0.9516889452934265,3251,0.15113578736782074,0.9516889452934265
66,0.9518659710884094,3301,0.14953091740608215,0.9518659710884094
67,0.948599100112915,3351,0.15360699594020844,0.948599100112915
68,0.9549397230148315,3401,0.14742623269557953,0.9549397230148315
69,0.9532982707023621,3451,0.14868566393852234,0.9532982707023621
70,0.9582065939903259,3501,0.14332179725170135,0.9582065939903259
71,0.9591882824897766,3551,0.1409665048122406,0.9591882824897766
72,0.9597193598747253,3601,0.13879990577697754,0.9597193598747253
73,0.9596388936042786,3651,0.13660459220409393,0.9596388936042786
74,0.9588986039161682,3701,0.13479600846767426,0.9588986039161682
75,0.9602181911468506,3751,0.13353796303272247,0.9602181911468506
76,0.959477961063385,3801,0.13200460374355316,0.959477961063385
