,first_3_accuracy,global_step,loss,total_accuracy
0,0.5635075569152832,2,0.6892772912979126,0.5635075569152832
1,0.5919920206069946,52,0.6875683665275574,0.5919920206069946
2,0.5931808352470398,102,0.6854992508888245,0.5931808352470398
3,0.5762518644332886,152,0.6834232211112976,0.5762518644332886
4,0.6001236438751221,202,0.6808079481124878,0.6001236438751221
5,0.6248989701271057,252,0.6777878403663635,0.6248989701271057
6,0.7136335372924805,302,0.6735032200813293,0.7136335372924805
7,0.7488230466842651,352,0.6688587069511414,0.7488230466842651
8,0.7657045125961304,402,0.6619062423706055,0.7657045125961304
9,0.7952827215194702,452,0.6520124673843384,0.7952827215194702
10,0.8180607557296753,502,0.6362020969390869,0.8180607557296753
11,0.8449284434318542,552,0.611066460609436,0.8449284434318542
12,0.8682295680046082,602,0.5738571286201477,0.8682295680046082
13,0.8781206607818604,652,0.5207681655883789,0.8781206607818604
14,0.8963811993598938,702,0.4584147036075592,0.8963811993598938
15,0.8981406688690186,752,0.4058249294757843,0.8981406688690186
16,0.9083646535873413,802,0.3618490993976593,0.9083646535873413
17,0.9096961617469788,852,0.33113643527030945,0.9096961617469788
18,0.9151647686958313,902,0.3070218563079834,0.9151647686958313
19,0.9201103448867798,952,0.28859594464302063,0.9201103448867798
20,0.9223453402519226,1002,0.27393925189971924,0.9223453402519226
21,0.9254838824272156,1052,0.2624616324901581,0.9254838824272156
22,0.9259118437767029,1102,0.2557445466518402,0.9259118437767029
23,0.9244377017021179,1152,0.2549422085285187,0.9244377017021179
24,0.9292405843734741,1202,0.23973195254802704,0.9292405843734741
25,0.9313329458236694,1252,0.233340784907341,0.9313329458236694
26,0.9327595233917236,1302,0.22740915417671204,0.9327595233917236
27,0.9329021573066711,1352,0.2232438027858734,0.9329021573066711
28,0.9316657781600952,1402,0.22379088401794434,0.9316657781600952
29,0.9343287944793701,1452,0.2188429981470108,0.9343287944793701
30,0.9327595233917236,1502,0.21761198341846466,0.9327595233917236
