generation,p(true),Actual success rate,p(success by chance only),z-score
0,0.537,0.672,0.502738,10.705229334098195
1,0.511,0.66,0.500242,10.10398427212314
2,0.507,0.642,0.500098,8.974670663049737
3,0.527,0.637,0.501458,8.572465218444233
4,0.499,0.657,0.500002,9.929425361901743
5,0.53,0.673,0.5018,10.827708872197354
6,0.491,0.644,0.500162,9.09711435915534
7,0.514,0.655,0.500392,9.778271494803343
8,0.517,0.654,0.500578,9.703265746980898
9,0.55,0.658,0.505,9.677053504887407
10,0.487,0.628,0.500338,8.074055657873355
11,0.528,0.64,0.501568,8.755251472897221
12,0.497,0.641,0.500018,8.916484587495052
13,0.541,0.651,0.503362,9.337658074144915
14,0.524,0.659,0.501152,9.983210579597715
15,0.536,0.643,0.502592,8.880300958944721
16,0.518,0.649,0.500648,9.382612188422076
17,0.512,0.644,0.500288,9.089146449742817
18,0.556,0.651,0.506272,9.154122661812409
19,0.533,0.673,0.502178,10.803834389744557
20,0.565,0.66,0.50845,9.586232647684882
21,0.558,0.654,0.5067280000000001,9.315142467723234
22,0.541,0.643,0.503362,8.83168221025378
23,0.53,0.63,0.5018,8.108132461540308
24,0.524,0.627,0.501152,7.95934750532926
25,0.513,0.641,0.500338,8.896248037378248
26,0.569,0.652,0.509522,9.012734419452599
27,0.562,0.648,0.507688,8.875159261770387
28,0.568,0.639,0.509248,8.207641064612712
29,0.543,0.676,0.503698,10.897633366841532
30,0.519,0.631,0.500722,8.23951277048515
31,0.505,0.646,0.50005,9.23068853618494
32,0.502,0.638,0.500008,8.727380378756205
33,0.558,0.655,0.5067280000000001,9.378393747448662
34,0.555,0.676,0.50605,10.749368703253134
35,0.558,0.648,0.5067280000000001,8.935634789370665
36,0.545,0.634,0.50405,8.219029268455442
37,0.525,0.643,0.50125,8.965085182512325
38,0.54,0.655,0.5032,9.600871604135142
39,0.546,0.661,0.504232,9.915234051140162
