,global_step,loss,not_all_accuracy,not_only_accuracy,total_accuracy
0,1252,0.7042179107666016,0.573440670967102,0.7400000095367432,0.6561296582221985
1,1302,0.4967086613178253,0.7247484922409058,0.8114285469055176,0.767781138420105
2,1352,0.4618176817893982,0.7569416761398315,0.8240816593170166,0.7902735471725464
3,1402,0.45190805196762085,0.7818913459777832,0.8285714387893677,0.8050658702850342
4,1452,0.44079187512397766,0.7907444834709167,0.8428571224212646,0.8166159987449646
5,1502,0.42742177844047546,0.7991951704025269,0.8473469614982605,0.8231003284454346
6,1552,0.41981467604637146,0.8136820793151855,0.8469387888908386,0.830192506313324
7,1602,0.40701350569725037,0.8277665972709656,0.8538775444030762,0.8407294750213623
8,1652,0.39530110359191895,0.8273642063140869,0.8583673238754272,0.8427558541297913
9,1702,0.3889252543449402,0.8458752632141113,0.8595918416976929,0.8526849150657654
10,1752,0.37155571579933167,0.8583500981330872,0.8706122636795044,0.8644376993179321
11,1802,0.3590129315853119,0.8647887110710144,0.882040798664093,0.8733536005020142
12,1852,0.3473723828792572,0.8764587640762329,0.8877550959587097,0.8820668458938599
13,1902,0.33788353204727173,0.8905432820320129,0.8942857384681702,0.8924012184143066
14,1952,0.3239394426345825,0.8865191340446472,0.8963265419006348,0.8913880586624146
15,2002,0.31022852659225464,0.9022132754325867,0.9102040529251099,0.9061803221702576
16,2052,0.2995537221431732,0.9070422649383545,0.9081632494926453,0.9075987935066223
17,2102,0.2847256660461426,0.9175050258636475,0.9216326475143433,0.9195542335510254
18,2152,0.28036725521087646,0.9231388568878174,0.9122449159622192,0.9177305102348328
19,2202,0.2655211091041565,0.9283702373504639,0.923265278339386,0.9258358478546143
20,2252,0.2558453381061554,0.9376257658004761,0.9265305995941162,0.9321175217628479
21,2302,0.24353809654712677,0.9299798607826233,0.9334694147109985,0.93171226978302
22,2352,0.23531746864318848,0.9283702373504639,0.9338775277137756,0.9311043620109558
23,2402,0.22923605144023895,0.9452716112136841,0.9346938729286194,0.9400202631950378
24,2452,0.22776499390602112,0.9521126747131348,0.9334694147109985,0.9428571462631226
25,2502,0.21055983006954193,0.9452716112136841,0.9424489736557007,0.9438703060150146
26,2552,0.2033824473619461,0.9589537382125854,0.9391836524009705,0.9491388201713562
27,2602,0.20298998057842255,0.9517102837562561,0.92734694480896,0.93961501121521
28,2652,0.19030609726905823,0.9625754356384277,0.9424489736557007,0.9525836110115051
29,2702,0.20004644989967346,0.9364185333251953,0.9338775277137756,0.935157060623169
30,2752,0.19436901807785034,0.9408450722694397,0.9338775277137756,0.9373860359191895
31,2802,0.1781993806362152,0.9396378397941589,0.9493877291679382,0.9444782137870789
32,2852,0.17619213461875916,0.9476861357688904,0.9448979496955872,0.9463019371032715
33,2902,0.18766430020332336,0.9158953428268433,0.9465306401252747,0.9311043620109558
34,2952,0.1698724329471588,0.9657947421073914,0.9432653188705444,0.9546099305152893
35,3002,0.15939103066921234,0.9674044251441956,0.9567347168922424,0.9621074199676514
36,3052,0.15730009973049164,0.9645875096321106,0.9493877291679382,0.9570415616035461
37,3102,0.15151435136795044,0.9678068161010742,0.9571428298950195,0.9625126719474792
38,3152,0.15022623538970947,0.9629778861999512,0.9546938538551331,0.958865225315094
39,3202,0.15411138534545898,0.9565392136573792,0.9485714435577393,0.9525836110115051
40,3252,0.14297109842300415,0.9686116576194763,0.9608163237571716,0.9647416472434998
41,3302,0.14675110578536987,0.9597585797309875,0.9530612230300903,0.9564336538314819
42,3352,0.14207316935062408,0.9641851186752319,0.9551020264625549,0.9596757888793945
43,3402,0.13937939703464508,0.9702213406562805,0.9555101990699768,0.9629179239273071
44,3452,0.13705769181251526,0.9674044251441956,0.9563265442848206,0.961904764175415
45,3502,0.15501976013183594,0.9468812942504883,0.9493877291679382,0.9481256604194641
46,3552,0.14573226869106293,0.9633802771568298,0.9522448778152466,0.9578520655632019
47,3602,0.13757333159446716,0.9718309640884399,0.9571428298950195,0.9645389914512634
48,3652,0.13009332120418549,0.9657947421073914,0.9612244963645935,0.9635258316993713
49,3702,0.13028636574745178,0.9682092666625977,0.9583673477172852,0.963323175907135
50,3752,0.12607519328594208,0.9657947421073914,0.9616326689720154,0.9637284874916077
51,3802,0.13340340554714203,0.9670020341873169,0.9538775682449341,0.9604862928390503
52,3852,0.12811905145645142,0.9665995836257935,0.9567347168922424,0.9617021083831787
53,3902,0.12222819030284882,0.972635805606842,0.9620408415794373,0.9673758745193481
54,3952,0.12865513563156128,0.9645875096321106,0.9559183716773987,0.9602836966514587
55,4002,0.11919988691806793,0.9661971926689148,0.9653061032295227,0.9657548069953918
56,4052,0.13079006969928741,0.9665995836257935,0.9579591751098633,0.9623100161552429
57,4102,0.11695775389671326,0.9657947421073914,0.9669387936592102,0.966362714767456
58,4152,0.12253091484308243,0.9698188900947571,0.96367347240448,0.9667679667472839
59,4202,0.11710640788078308,0.9714285731315613,0.9628571271896362,0.9671732783317566
60,4252,0.11126891523599625,0.9694164991378784,0.9697959423065186,0.9696048498153687
61,4302,0.11474087834358215,0.9730382561683655,0.9710204005241394,0.9720364809036255
62,4352,0.12082474678754807,0.9573440551757812,0.9665306210517883,0.961904764175415
63,4402,0.12445579469203949,0.972635805606842,0.9612244963645935,0.9669706225395203
64,4452,0.10870713740587234,0.9702213406562805,0.9665306210517883,0.9683890342712402
65,4502,0.12013065814971924,0.9710261821746826,0.968163251876831,0.9696048498153687
66,4552,0.10643818229436874,0.9734406471252441,0.9738775491714478,0.9736575484275818
67,4602,0.1658695936203003,0.9706237316131592,0.9244897961616516,0.9477203488349915
68,4652,0.11176792532205582,0.9714285731315613,0.9697959423065186,0.9706180095672607
69,4702,0.10711938887834549,0.9702213406562805,0.9657142758369446,0.9679837822914124
70,4752,0.10466288775205612,0.9714285731315613,0.9685714244842529,0.9700101613998413
71,4802,0.10369747877120972,0.9690141081809998,0.9693877696990967,0.9691995978355408
72,4852,0.10220026969909668,0.9734406471252441,0.9693877696990967,0.9714285731315613
73,4902,0.10315156728029251,0.972635805606842,0.9673469662666321,0.9700101613998413
74,4952,0.10994057357311249,0.9686116576194763,0.9620408415794373,0.965349555015564
75,5002,0.11048023402690887,0.9702213406562805,0.9706122279167175,0.9704154133796692
76,5052,0.10264789313077927,0.9661971926689148,0.9718367457389832,0.9689969420433044
77,5102,0.1005682721734047,0.972635805606842,0.9718367457389832,0.9722391366958618
78,5152,0.09804916381835938,0.9734406471252441,0.9702040553092957,0.9718338251113892
79,5202,0.09913629293441772,0.9738430380821228,0.972244918346405,0.9730496406555176
80,5252,0.0987829938530922,0.972635805606842,0.9718367457389832,0.9722391366958618
81,5302,0.09876605868339539,0.9742454886436462,0.9673469662666321,0.9708206653594971
82,5352,0.09574417769908905,0.9718309640884399,0.9718367457389832,0.9718338251113892
83,5402,0.09514758735895157,0.9738430380821228,0.9714285731315613,0.9726443886756897
84,5452,0.1146150752902031,0.9718309640884399,0.9559183716773987,0.9639310836791992
85,5502,0.09282945096492767,0.9746478796005249,0.972244918346405,0.9734548926353455
86,5552,0.0916006937623024,0.9734406471252441,0.9763265252113342,0.9748733639717102
87,5602,0.10664711147546768,0.9601609706878662,0.9710204005241394,0.9655521512031555
88,5652,0.09014337509870529,0.9758551120758057,0.9755101799964905,0.975683867931366
89,5702,0.08937600255012512,0.9738430380821228,0.9746938943862915,0.974265456199646
90,5752,0.11803565919399261,0.9690141081809998,0.9522448778152466,0.9606889486312866
91,5802,0.0899398997426033,0.9738430380821228,0.9783673286437988,0.9760891795158386
92,5852,0.08786221593618393,0.9742454886436462,0.977959156036377,0.9760891795158386
93,5902,0.08700698614120483,0.975452721118927,0.9751020669937134,0.9752786159515381
94,5952,0.08627015352249146,0.975452721118927,0.977959156036377,0.9766970872879028
95,6002,0.0857454240322113,0.9758551120758057,0.9763265252113342,0.9760891795158386
96,6052,0.08529865741729736,0.9750503301620483,0.977959156036377,0.9764944314956665
